Country,Year,Inventory
   Italy,2009,19020000
   Netherlands,2009,42420000
   Portugal,2009,6000000
   Spain,2009,34200000
   Sweden,2009,5220000
Japan,2009,100980000
Norway,2009,7440000
Switzerland,2009,9660000
United Kingdom,2009,4320000
United States of America,2009,274200000
Unspecified EU stocks,2009,588420000
   Austria,2010,8460000
   Cyprus,2010,300000
   Denmark,2010,5340000
   Finland,2010,4980000
   France,2010,25620000
   Germany,2010,160800000
   Ireland,2010,240000
   Italy,2010,19560000
   Netherlands,2010,42420000
   Portugal,2010,6060000
   Spain,2010,34200000
   Sweden,2010,5220000
Japan,2010,105300000
Norway,2010,7440000
Switzerland,2010,9240000
United Kingdom,2010,2820000
United States of America,2010,238440000
Unspecified EU stocks,2010,399960000
   Austria,2011,6660000
   Cyprus,2011,360000
   Denmark,2011,5340000
   Finland,2011,4980000
   France,2011,24840000
   Germany,2011,147720000
   Ireland,2011,360000
   Italy,2011,19740000
   Netherlands,2011,42420000
   Portugal,2011,5400000
   Spain,2011,34200000
   Sweden,2011,5220000
Japan,2011,132240000
Norway,2011,7440000
Switzerland,2011,12180000
United Kingdom,2011,2460000
United States of America,2011,257700000
Unspecified EU stocks,2011,409680000
   Austria,2012,5820000
   Cyprus,2012,240000
   Denmark,2012,5340000
   Finland,2012,4980000
   France,2012,26760000
   Germany,2012,171540000
   Ireland,2012,420000
   Italy,2012,20760000
   Netherlands,2012,42420000
   Portugal,2012,6600000
   Spain,2012,34200000
   Sweden,2012,5220000
Japan,2012,121620000
Norway,2012,7440000
Switzerland,2012,12540000
United Kingdom,2012,2460000
United States of America,2012,284160000
Unspecified EU stocks,2012,366720000
   Austria,2013,5520000
   Cyprus,2013,420000
   Denmark,2013,5340000
   Finland,2013,4980000
   France,2013,26280000
   Germany,2013,158160000
   Ireland,2013,360000
   Italy,2013,21120000
   Netherlands,2013,42420000
   Portugal,2013,7200000
   Spain,2013,50220000
   Sweden,2013,5220000
Japan,2013,172860000
Norway,2013,7440000
Switzerland,2013,12360000
United Kingdom,2013,2340000
United States of America,2013,305220000
Unspecified EU stocks,2013,320160000
   Austria,2014,5760000
   Cyprus,2014,720000
   Denmark,2014,5340000
