Country,Coffee type,Period,Consumption
Panama,Arabica,1999/00,4020000
Sierra Leone,Robusta,1999/00,300000
Sri Lanka,Robusta/Arabica,1999/00,1800000
Thailand,Robusta/Arabica,1999/00,25980000
Togo,Robusta,1999/00,120000
Trinidad & Tobago,Robusta,1999/00,840000
Uganda,Robusta/Arabica,1999/00,7140000
Venezuela,Arabica,1999/00,68156400
Viet Nam,Robusta/Arabica,1999/00,21000000
Yemen,Arabica,1999/00,0
Angola,Robusta/Arabica,2000/01,1200000
Bolivia (Plurinational State of),Arabica,2000/01,2100000
Brazil,Arabica/Robusta,2000/01,792000000
Burundi,Arabica/Robusta,2000/01,120000
Ecuador,Arabica/Robusta,2000/01,12000000
Indonesia,Robusta/Arabica,2000/01,100560000
Madagascar,Robusta,2000/01,5346000
Malawi,Arabica,2000/01,60000
Papua New Guinea,Arabica/Robusta,2000/01,120000
Paraguay,Arabica,2000/01,1200000
Peru,Arabica,2000/01,12000000
Rwanda,Arabica,2000/01,120000
Timor-Leste,Arabica,2000/01,0
Zimbabwe,Arabica,2000/01,240000
Congo,Robusta,2000/01,180000
Cuba,Arabica,2000/01,12780000
Dominican Republic,Arabica/Robusta,2000/01,19500000
Haiti,Arabica,2000/01,20400000
Philippines,Robusta/Arabica,2000/01,49200000
Tanzania,Arabica/Robusta,2000/01,900000
Zambia,Arabica,2000/01,36000
Cameroon,Robusta/Arabica,2000/01,4500000
Central African Republic,Robusta,2000/01,180000
Colombia,Arabica,2000/01,76920000
Costa Rica,Arabica,2000/01,22500000
Côte d'Ivoire,Robusta,2000/01,19000020
Democratic Republic of Congo,Robusta/Arabica,2000/01,12000000
El Salvador,Arabica,2000/01,8640000
Equatorial Guinea,Robusta,2000/01,0
Ethiopia,Arabica,2000/01,120840000
Gabon,Robusta,2000/01,18000
Ghana,Robusta,2000/01,60000
Guatemala,Arabica/Robusta,2000/01,18000000
Guinea,Robusta,2000/01,3000000
Guyana,Robusta,2000/01,112980
Honduras,Arabica,2000/01,13800000
India,Robusta/Arabica,2000/01,58500000
Jamaica,Arabica,2000/01,724020
Kenya,Arabica,2000/01,3000000
Lao People's Democratic Republic,Robusta,2000/01,0
Liberia,Robusta,2000/01,300000
Mexico,Arabica/Robusta,2000/01,78300000
