Country,Coffee type,Period,Consumption
Ethiopia,Arabica,2013/14,201900000
Gabon,Robusta,2013/14,34980
Ghana,Robusta,2013/14,120000
Guatemala,Arabica/Robusta,2013/14,22200000
Guinea,Robusta,2013/14,3000000
Guyana,Robusta,2013/14,528000
Honduras,Arabica,2013/14,21000000
India,Robusta/Arabica,2013/14,84000000
Jamaica,Arabica,2013/14,540000
Kenya,Arabica,2013/14,3300000
Lao People's Democratic Republic,Robusta,2013/14,9000000
Liberia,Robusta,2013/14,300000
Mexico,Arabica/Robusta,2013/14,139260000
Nepal,Arabica,2013/14,0
Nicaragua,Arabica,2013/14,12573660
Nigeria,Robusta,2013/14,2400000
Panama,Arabica,2013/14,4020000
Sierra Leone,Robusta,2013/14,300000
Sri Lanka,Robusta/Arabica,2013/14,2100000
Thailand,Robusta/Arabica,2013/14,72000000
Togo,Robusta,2013/14,14280
Trinidad & Tobago,Robusta,2013/14,600000
Uganda,Robusta/Arabica,2013/14,13248000
Venezuela,Arabica,2013/14,99000000
Viet Nam,Robusta/Arabica,2013/14,120000000
Yemen,Arabica,2013/14,7800000
Angola,Robusta/Arabica,2014/15,1800000
Bolivia (Plurinational State of),Arabica,2014/15,3210000
Brazil,Arabica/Robusta,2014/15,1219980000
Burundi,Arabica/Robusta,2014/15,120000
Ecuador,Arabica/Robusta,2014/15,9300000
Indonesia,Robusta/Arabica,2014/15,265020000
Madagascar,Robusta,2014/15,23400000
Malawi,Arabica,2014/15,60000
Papua New Guinea,Arabica/Robusta,2014/15,115440
Paraguay,Arabica,2014/15,1200000
Peru,Arabica,2014/15,15000000
Rwanda,Arabica,2014/15,60000
Timor-Leste,Arabica,2014/15,29400
Zimbabwe,Arabica,2014/15,240000
Congo,Robusta,2014/15,180000
Cuba,Arabica,2014/15,13200000
Dominican Republic,Arabica/Robusta,2014/15,23280000
Haiti,Arabica,2014/15,20400000
Philippines,Robusta/Arabica,2014/15,168000000
Tanzania,Arabica/Robusta,2014/15,4603020
Zambia,Arabica,2014/15,0
Cameroon,Robusta/Arabica,2014/15,4519020
Central African Republic,Robusta,2014/15,1200000
Colombia,Arabica,2014/15,99927060
Costa Rica,Arabica,2014/15,22844520
Côte d'Ivoire,Robusta,2014/15,19020000
Democratic Republic of Congo,Robusta/Arabica,2014/15,12000000
El Salvador,Arabica,2014/15,16800000
Equatorial Guinea,Robusta,2014/15,0
Ethiopia,Arabica,2014/15,205980000
Gabon,Robusta,2014/15,31020
Ghana,Robusta,2014/15,120000
Guatemala,Arabica/Robusta,2014/15,22800000
Guinea,Robusta,2014/15,3000000
Guyana,Robusta,2014/15,534000
Honduras,Arabica,2014/15,21300000
India,Robusta/Arabica,2014/15,85800000
Jamaica,Arabica,2014/15,540000
Kenya,Arabica,2014/15,3300000
Lao People's Democratic Republic,Robusta,2014/15,9000000
Liberia,Robusta,2014/15,300000
Mexico,Arabica/Robusta,2014/15,140820000
Nepal,Arabica,2014/15,0
Nicaragua,Arabica,2014/15,12704520
Nigeria,Robusta,2014/15,2400000
Panama,Arabica,2014/15,4020000
Sierra Leone,Robusta,2014/15,300000
Sri Lanka,Robusta/Arabica,2014/15,2100000
Thailand,Robusta/Arabica,2014/15,75000000
Togo,Robusta,2014/15,11700
Trinidad & Tobago,Robusta,2014/15,600000
Uganda,Robusta/Arabica,2014/15,13752000
Venezuela,Arabica,2014/15,99000000
Viet Nam,Robusta/Arabica,2014/15,132000000
Yemen,Arabica,2014/15,7500000
Angola,Robusta/Arabica,2015/16,1800000
Bolivia (Plurinational State of),Arabica,2015/16,3300000
Brazil,Arabica/Robusta,2015/16,1230480000
Burundi,Arabica/Robusta,2015/16,120000
Ecuador,Arabica/Robusta,2015/16,9300000
Indonesia,Robusta/Arabica,2015/16,273000000
Madagascar,Robusta,2015/16,22200000
Malawi,Arabica,2015/16,60000
Papua New Guinea,Arabica/Robusta,2015/16,108000
Paraguay,Arabica,2015/16,1200000
Peru,Arabica,2015/16,15000000
Rwanda,Arabica,2015/16,60000
Timor-Leste,Arabica,2015/16,29400
Zimbabwe,Arabica,2015/16,240000
Congo,Robusta,2015/16,180000
Cuba,Arabica,2015/16,13200000
Dominican Republic,Arabica/Robusta,2015/16,23280000
Haiti,Arabica,2015/16,20400000
Philippines,Robusta/Arabica,2015/16,180000000
Tanzania,Arabica/Robusta,2015/16,5523000
Zambia,Arabica,2015/16,0
Cameroon,Robusta/Arabica,2015/16,4560000
Central African Republic,Robusta,2015/16,1200000
Colombia,Arabica,2015/16,103222380
Costa Rica,Arabica,2015/16,26929260
Côte d'Ivoire,Robusta,2015/16,19020000
Democratic Republic of Congo,Robusta/Arabica,2015/16,12000000
El Salvador,Arabica,2015/16,17100000
Equatorial Guinea,Robusta,2015/16,0
Ethiopia,Arabica,2015/16,210060000
Gabon,Robusta,2015/16,30000
Ghana,Robusta,2015/16,120000
Guatemala,Arabica/Robusta,2015/16,23400000
Guinea,Robusta,2015/16,3000000
Guyana,Robusta,2015/16,540000
Honduras,Arabica,2015/16,21900000
India,Robusta/Arabica,2015/16,87000000
Jamaica,Arabica,2015/16,540000
Kenya,Arabica,2015/16,3600000
Lao People's Democratic Republic,Robusta,2015/16,9000000
Liberia,Robusta,2015/16,300000
Mexico,Arabica/Robusta,2015/16,139740000
Nepal,Arabica,2015/16,0
Nicaragua,Arabica,2015/16,12836760
Nigeria,Robusta,2015/16,2400000
Panama,Arabica,2015/16,4020000
Sierra Leone,Robusta,2015/16,300000
Sri Lanka,Robusta/Arabica,2015/16,2100000
Thailand,Robusta/Arabica,2015/16,78000000
Togo,Robusta,2015/16,13200
Trinidad & Tobago,Robusta,2015/16,600000
Uganda,Robusta/Arabica,2015/16,14040000
Venezuela,Arabica,2015/16,99000000
Viet Nam,Robusta/Arabica,2015/16,138000000
Yemen,Arabica,2015/16,6900000
Angola,Robusta/Arabica,2016/17,1800000
Bolivia (Plurinational State of),Arabica,2016/17,3420000
Brazil,Arabica/Robusta,2016/17,1273500000
Burundi,Arabica/Robusta,2016/17,120000
Ecuador,Arabica/Robusta,2016/17,9300000
Indonesia,Robusta/Arabica,2016/17,279000000
Madagascar,Robusta,2016/17,21600000
Malawi,Arabica,2016/17,60000
Papua New Guinea,Arabica/Robusta,2016/17,120000
Paraguay,Arabica,2016/17,1200000
Peru,Arabica,2016/17,15000000
Rwanda,Arabica,2016/17,60000
Timor-Leste,Arabica,2016/17,29400
Zimbabwe,Arabica,2016/17,240000
Congo,Robusta,2016/17,180000
Cuba,Arabica,2016/17,13200000
Dominican Republic,Arabica/Robusta,2016/17,23400000
Haiti,Arabica,2016/17,20400000
Philippines,Robusta/Arabica,2016/17,181800000
Tanzania,Arabica/Robusta,2016/17,5478000
Zambia,Arabica,2016/17,0
Cameroon,Robusta/Arabica,2016/17,4620000
Central African Republic,Robusta,2016/17,1200000
Colombia,Arabica,2016/17,104186484
Costa Rica,Arabica,2016/17,19767420
Côte d'Ivoire,Robusta,2016/17,19020000
Democratic Republic of Congo,Robusta/Arabica,2016/17,12000000
El Salvador,Arabica,2016/17,17520000
Equatorial Guinea,Robusta,2016/17,0
Ethiopia,Arabica,2016/17,214260000
Gabon,Robusta,2016/17,30000
Ghana,Robusta,2016/17,120000
Guatemala,Arabica/Robusta,2016/17,23400000
Guinea,Robusta,2016/17,3000000
Guyana,Robusta,2016/17,540000
Honduras,Arabica,2016/17,22200000
India,Robusta/Arabica,2016/17,86400000
Jamaica,Arabica,2016/17,540000
Kenya,Arabica,2016/17,3600000
Lao People's Democratic Republic,Robusta,2016/17,9000000
Liberia,Robusta,2016/17,300000
Mexico,Arabica/Robusta,2016/17,141600000
Nepal,Arabica,2016/17,0
Nicaragua,Arabica,2016/17,13003680
Nigeria,Robusta,2016/17,2400000
Panama,Arabica,2016/17,4020000
Sierra Leone,Robusta,2016/17,300000
Sri Lanka,Robusta/Arabica,2016/17,2100000
Thailand,Robusta/Arabica,2016/17,81000000
Togo,Robusta,2016/17,15240
Trinidad & Tobago,Robusta,2016/17,600000
Uganda,Robusta/Arabica,2016/17,14400000
Venezuela,Arabica,2016/17,99000000
Viet Nam,Robusta/Arabica,2016/17,144000000
Yemen,Arabica,2016/17,6000000
Angola,Robusta/Arabica,2017/18,1800000
Bolivia (Plurinational State of),Arabica,2017/18,3510000
Brazil,Arabica/Robusta,2017/18,1319820000
Burundi,Arabica/Robusta,2017/18,120000
Ecuador,Arabica/Robusta,2017/18,9300000
Indonesia,Robusta/Arabica,2017/18,285000000
Madagascar,Robusta,2017/18,21900000
Malawi,Arabica,2017/18,60000
Papua New Guinea,Arabica/Robusta,2017/18,120000
Paraguay,Arabica,2017/18,1200000
Peru,Arabica,2017/18,15000000
Rwanda,Arabica,2017/18,60000
Timor-Leste,Arabica,2017/18,29400
Zimbabwe,Arabica,2017/18,240000
Congo,Robusta,2017/18,180000
Cuba,Arabica,2017/18,13200000
Dominican Republic,Arabica/Robusta,2017/18,23400000
Haiti,Arabica,2017/18,20400000
Philippines,Robusta/Arabica,2017/18,190800000
Tanzania,Arabica/Robusta,2017/18,5500020
Zambia,Arabica,2017/18,0
Cameroon,Robusta/Arabica,2017/18,4680000
Central African Republic,Robusta,2017/18,1200000
Colombia,Arabica,2017/18,107596260
Costa Rica,Arabica,2017/18,21200040
Côte d'Ivoire,Robusta,2017/18,19020000
Democratic Republic of Congo,Robusta/Arabica,2017/18,12000000
El Salvador,Arabica,2017/18,18000000
Equatorial Guinea,Robusta,2017/18,0
Ethiopia,Arabica,2017/18,218580000
Gabon,Robusta,2017/18,30000
Ghana,Robusta,2017/18,120000
Guatemala,Arabica/Robusta,2017/18,23700000
Guinea,Robusta,2017/18,3000000
Guyana,Robusta,2017/18,540000
Honduras,Arabica,2017/18,22500000
India,Robusta/Arabica,2017/18,88200000
Jamaica,Arabica,2017/18,540000
Kenya,Arabica,2017/18,3900000
Lao People's Democratic Republic,Robusta,2017/18,9300000
Liberia,Robusta,2017/18,300000
Mexico,Arabica/Robusta,2017/18,144000000
Nepal,Arabica,2017/18,0
Nicaragua,Arabica,2017/18,13080000
Nigeria,Robusta,2017/18,2400000
Panama,Arabica,2017/18,4020000
Sierra Leone,Robusta,2017/18,300000
Sri Lanka,Robusta/Arabica,2017/18,2100000
Thailand,Robusta/Arabica,2017/18,82500000
Togo,Robusta,2017/18,15240
Trinidad & Tobago,Robusta,2017/18,600000
Uganda,Robusta/Arabica,2017/18,14688000
Venezuela,Arabica,2017/18,96000000
Viet Nam,Robusta/Arabica,2017/18,150000000
Yemen,Arabica,2017/18,5400000
Angola,Robusta/Arabica,2018/19,1800000
Bolivia (Plurinational State of),Arabica,2018/19,3600000
Brazil,Arabica/Robusta,2018/19,1332000000
Burundi,Arabica/Robusta,2018/19,120000
Ecuador,Arabica/Robusta,2018/19,9300000
Indonesia,Robusta/Arabica,2018/19,288000000
Madagascar,Robusta,2018/19,22500000
Malawi,Arabica,2018/19,60000
Papua New Guinea,Arabica/Robusta,2018/19,120000
Paraguay,Arabica,2018/19,1200000
Peru,Arabica,2018/19,15000000
Rwanda,Arabica,2018/19,60000
Timor-Leste,Arabica,2018/19,29400
Zimbabwe,Arabica,2018/19,240000
Congo,Robusta,2018/19,180000
Cuba,Arabica,2018/19,13200000
Dominican Republic,Arabica/Robusta,2018/19,23400000
Haiti,Arabica,2018/19,20700000
Philippines,Robusta/Arabica,2018/19,198000000
Tanzania,Arabica/Robusta,2018/19,5520000
Zambia,Arabica,2018/19,0
Cameroon,Robusta/Arabica,2018/19,4680000
Central African Republic,Robusta,2018/19,1200000
Colombia,Arabica,2018/19,107484600
Costa Rica,Arabica,2018/19,21900000
Côte d'Ivoire,Robusta,2018/19,19020000
Democratic Republic of Congo,Robusta/Arabica,2018/19,12000000
El Salvador,Arabica,2018/19,18000000
Equatorial Guinea,Robusta,2018/19,0
Ethiopia,Arabica,2018/19,221100000
Gabon,Robusta,2018/19,30000
Ghana,Robusta,2018/19,120000
Guatemala,Arabica/Robusta,2018/19,23700000
Guinea,Robusta,2018/19,3000000
Guyana,Robusta,2018/19,540000
Honduras,Arabica,2018/19,22500000
India,Robusta/Arabica,2018/19,88500000
Jamaica,Arabica,2018/19,540000
Kenya,Arabica,2018/19,4200000
Lao People's Democratic Republic,Robusta,2018/19,9300000
Liberia,Robusta,2018/19,300000
Mexico,Arabica/Robusta,2018/19,147000000
Nepal,Arabica,2018/19,0
Nicaragua,Arabica,2018/19,13200000
Nigeria,Robusta,2018/19,2400000
Panama,Arabica,2018/19,4020000
Sierra Leone,Robusta,2018/19,300000
Sri Lanka,Robusta/Arabica,2018/19,2100000
Thailand,Robusta/Arabica,2018/19,84000000
Togo,Robusta,2018/19,15240
Trinidad & Tobago,Robusta,2018/19,600000
Uganda,Robusta/Arabica,2018/19,15000000
Venezuela,Arabica,2018/19,93000000
Viet Nam,Robusta/Arabica,2018/19,156000000
Yemen,Arabica,2018/19,3900000
Angola,Robusta/Arabica,2019/20,1800000
Bolivia (Plurinational State of),Arabica,2019/20,3660000
Brazil,Arabica/Robusta,2019/20,1320000000
Burundi,Arabica/Robusta,2019/20,120000
Ecuador,Arabica/Robusta,2019/20,8940000
Indonesia,Robusta/Arabica,2019/20,288360000
Madagascar,Robusta,2019/20,22500000
Malawi,Arabica,2019/20,60000
Papua New Guinea,Arabica/Robusta,2019/20,120000
Paraguay,Arabica,2019/20,1200000
Peru,Arabica,2019/20,15000000
Rwanda,Arabica,2019/20,60000
Timor-Leste,Arabica,2019/20,29400
Zimbabwe,Arabica,2019/20,240000
Congo,Robusta,2019/20,180000
Cuba,Arabica,2019/20,12960000
Dominican Republic,Arabica/Robusta,2019/20,22620000
Haiti,Arabica,2019/20,20700000
Philippines,Robusta/Arabica,2019/20,195000000
Tanzania,Arabica/Robusta,2019/20,5700000
Zambia,Arabica,2019/20,0
Cameroon,Robusta/Arabica,2019/20,4620000
Central African Republic,Robusta,2019/20,1200000
Colombia,Arabica,2019/20,121486440
Costa Rica,Arabica,2019/20,21120000
Côte d'Ivoire,Robusta,2019/20,19020000
Democratic Republic of Congo,Robusta/Arabica,2019/20,11880000
El Salvador,Arabica,2019/20,17520000
Equatorial Guinea,Robusta,2019/20,0
Ethiopia,Arabica,2019/20,226860000
Gabon,Robusta,2019/20,30000
Ghana,Robusta,2019/20,120000
Guatemala,Arabica/Robusta,2019/20,23580000
Guinea,Robusta,2019/20,3000000
Guyana,Robusta,2019/20,540000
Honduras,Arabica,2019/20,21000000
India,Robusta/Arabica,2019/20,87000000
Jamaica,Arabica,2019/20,540000
Kenya,Arabica,2019/20,4290000
Lao People's Democratic Republic,Robusta,2019/20,9420000
Liberia,Robusta,2019/20,300000
Mexico,Arabica/Robusta,2019/20,145500000
Nepal,Arabica,2019/20,0
Nicaragua,Arabica,2019/20,12600000
Nigeria,Robusta,2019/20,2400000
Panama,Arabica,2019/20,4020000
Sierra Leone,Robusta,2019/20,300000
Sri Lanka,Robusta/Arabica,2019/20,2100000
Thailand,Robusta/Arabica,2019/20,84000000
Togo,Robusta,2019/20,15600
Trinidad & Tobago,Robusta,2019/20,600000
Uganda,Robusta/Arabica,2019/20,15240000
Venezuela,Arabica,2019/20,76500000
Viet Nam,Robusta/Arabica,2019/20,159000000
Yemen,Arabica,2019/20,3840000
Angola,Robusta/Arabica,Total_domestic_consumption,46500000
Bolivia (Plurinational State of),Arabica,Total_domestic_consumption,75180000
Brazil,Arabica/Robusta,Total_domestic_consumption,27824700000
Burundi,Arabica/Robusta,Total_domestic_consumption,3412020
Ecuador,Arabica/Robusta,Total_domestic_consumption,381540000
Indonesia,Robusta/Arabica,Total_domestic_consumption,4920480000
Madagascar,Robusta,Total_domestic_consumption,588705960
Malawi,Arabica,Total_domestic_consumption,2340000
Papua New Guinea,Arabica/Robusta,Total_domestic_consumption,3608400
Paraguay,Arabica,Total_domestic_consumption,35100000
Peru,Arabica,Total_domestic_consumption,402000000
Rwanda,Arabica,Total_domestic_consumption,2139960
Timor-Leste,Arabica,Total_domestic_consumption,294000
Zimbabwe,Arabica,Total_domestic_consumption,8595960
Congo,Robusta,Total_domestic_consumption,5360040
Cuba,Arabica,Total_domestic_consumption,384006000
Dominican Republic,Arabica/Robusta,Total_domestic_consumption,642823380
Haiti,Arabica,Total_domestic_consumption,600600000
Philippines,Robusta/Arabica,Total_domestic_consumption,2807280000
Tanzania,Arabica/Robusta,Total_domestic_consumption,76425060
Zambia,Arabica,Total_domestic_consumption,991920
Cameroon,Robusta/Arabica,Total_domestic_consumption,143450940
Central African Republic,Robusta,Total_domestic_consumption,24794400
Colombia,Arabica,Total_domestic_consumption,2536776384
Costa Rica,Arabica,Total_domestic_consumption,665335200
Côte d'Ivoire,Robusta,Total_domestic_consumption,410260140
Democratic Republic of Congo,Robusta/Arabica,Total_domestic_consumption,359880000
El Salvador,Arabica,Total_domestic_consumption,417242040
Equatorial Guinea,Robusta,Total_domestic_consumption,0
Ethiopia,Arabica,Total_domestic_consumption,4536540000
Gabon,Robusta,Total_domestic_consumption,1123140
Ghana,Robusta,Total_domestic_consumption,9970800
Guatemala,Arabica/Robusta,Total_domestic_consumption,590880000
Guinea,Robusta,Total_domestic_consumption,86730000
Guyana,Robusta,Total_domestic_consumption,9203040
Honduras,Arabica,Total_domestic_consumption,471850680
India,Robusta/Arabica,Total_domestic_consumption,2093460000
Jamaica,Arabica,Total_domestic_consumption,18688020
Kenya,Arabica,Total_domestic_consumption,95190000
Lao People's Democratic Republic,Robusta,Total_domestic_consumption,157980000
Liberia,Robusta,Total_domestic_consumption,8640000
Mexico,Arabica/Robusta,Total_domestic_consumption,3189660000
Nepal,Arabica,Total_domestic_consumption,0
Nicaragua,Arabica,Total_domestic_consumption,299700300
Nigeria,Robusta,Total_domestic_consumption,70740000
Panama,Arabica,Total_domestic_consumption,122916960
Sierra Leone,Robusta,Total_domestic_consumption,10080000
Sri Lanka,Robusta/Arabica,Total_domestic_consumption,58300020
Thailand,Robusta/Arabica,Total_domestic_consumption,1248600000
Togo,Robusta,Total_domestic_consumption,2167620
Trinidad & Tobago,Robusta,Total_domestic_consumption,21090000
Uganda,Robusta/Arabica,Total_domestic_consumption,284816400
Venezuela,Arabica,Total_domestic_consumption,2386067999
Viet Nam,Robusta/Arabica,Total_domestic_consumption,1920928320
Yemen,Arabica,Total_domestic_consumption,121620000
